x y z
0.4 1.6 -205.6583797
0.4 1.7 -207.6497995
0.4 1.8 -209.52137
0.4 1.9 -211.2875464
0.4 2 -212.960309
0.4 2.1 -214.5496975
0.4 2.2 -216.0642085
0.4 2.3 -217.5110963
0.4 2.4 -218.8966037
0.4 2.5 -220.2261419
0.4 2.6 -221.5044319
0.4 2.7 -222.735617
0.4 2.8 -223.9233538
0.4 2.9 -225.0708854
0.4 3 -226.1811015
0.4 3.1 -227.2565881
0.4 3.2 -228.2996688
0.4 3.3 -229.3124392
0.4 3.4 -230.2967955
0.4 3.5 -231.2544595
0.4 3.6 -232.1869993
0.4 3.7 -233.0958469
0.4 3.8 -233.9823139
0.4 3.9 -234.8476043
0.4 4 -235.6928263
0.4 4.1 -236.5190021
0.4 4.2 -237.3270766
0.4 4.3 -238.1179252
0.4 4.4 -238.8923601
0.4 4.5 -239.6511368
0.4 4.6 -240.3949587
0.4 4.7 -241.1244823
0.4 4.8 -241.840321
0.4 4.9 -242.543049
0.4 5 -243.2332044
0.4 5.1 -243.9112924
0.4 5.2 -244.5777876
0.4 5.3 -245.2331368
0.4 5.4 -245.8777611
0.4 5.5 -246.5120576
0.4 5.6 -247.1364014
0.4 5.7 -247.751147
0.4 5.8 -248.3566301
0.4 5.9 -248.9531689
0.4 6 -249.5410647
0.4 6.1 -250.1206041
0.4 6.2 -250.6920589
0.4 6.3 -251.255688
0.4 6.4 -251.8117375
0.4 6.5 -252.3604419
0.4 6.6 -252.902025
0.4 6.7 -253.4366999
0.4 6.8 -253.9646706
0.4 6.9 -254.4861315
0.4 7 -255.0012688
0.4 7.1 -255.5102606
0.4 7.2 -256.0132773
0.4 7.3 -256.5104823
0.4 7.4 -257.0020322
0.4 7.5 -257.4880772
0.4 7.6 -257.9687615
0.4 7.7 -258.4442236
0.4 7.8 -258.9145964
0.4 7.9 -259.380008
0.4 8 -259.8405814
0.5 -8 1345.356067
0.5 -7.9 1343.539546
0.5 -7.8 1341.72319
0.5 -7.7 1339.905781
0.5 -7.6 1338.086082
0.5 -7.5 1336.262829
0.5 -7.4 1334.434722
0.5 -7.3 1332.600421
0.5 -7.2 1330.758536
0.5 -7.1 1328.907616
0.5 -7 1327.046144
